instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,P128 [P128-e0c758997a9b]:status,P128 [P128-e0c758997a9b]:successful_repeats,P128 [P128-e0c758997a9b]:result,helsgaun128:status,helsgaun128:successful_repeats,helsgaun128:result,result_match,P128 [P128-e0c758997a9b]:matches_reference,helsgaun128:matches_reference,P128 [P128-e0c758997a9b]:wall_vs_Concorde_symmetric_change,helsgaun128:wall_vs_Concorde_symmetric_change,P128 [P128-e0c758997a9b]:wall_seconds,helsgaun128:wall_seconds,symmetric_change:wall_seconds,P128 [P128-e0c758997a9b]:branches,helsgaun128:branches,symmetric_change:branches,P128 [P128-e0c758997a9b]:nodes_expanded,helsgaun128:nodes_expanded,P128 [P128-e0c758997a9b]:pruned_by_bound,helsgaun128:pruned_by_bound,P128 [P128-e0c758997a9b]:pruned_infeasible,helsgaun128:pruned_infeasible,P128 [P128-e0c758997a9b]:root_potential_iterations,helsgaun128:root_potential_iterations,P128 [P128-e0c758997a9b]:search_node_potential_update_candidates,helsgaun128:search_node_potential_update_candidates,P128 [P128-e0c758997a9b]:search_node_potential_updates_triggered,helsgaun128:search_node_potential_updates_triggered,P128 [P128-e0c758997a9b]:search_node_potential_updates_skipped_total,helsgaun128:search_node_potential_updates_skipped_total,symmetric_change:search_node_potential_updates_skipped_total,P128 [P128-e0c758997a9b]:search_node_potential_iterations,helsgaun128:search_node_potential_iterations,P128 [P128-e0c758997a9b]:search_node_potential_updates_skipped_budget_exhausted,helsgaun128:search_node_potential_updates_skipped_budget_exhausted,P128 [P128-e0c758997a9b]:search_node_potential_updates_skipped_depth_interval,helsgaun128:search_node_potential_updates_skipped_depth_interval,P128 [P128-e0c758997a9b]:search_node_potential_updates_skipped_gap_above_maximum,helsgaun128:search_node_potential_updates_skipped_gap_above_maximum,P128 [P128-e0c758997a9b]:search_node_potential_updates_skipped_gap_below_minimum,helsgaun128:search_node_potential_updates_skipped_gap_below_minimum,P128 [P128-e0c758997a9b]:search_node_potential_updates_skipped_invalid_state,helsgaun128:search_node_potential_updates_skipped_invalid_state,P128 [P128-e0c758997a9b]:search_node_potential_updates_skipped_numerically_unsafe,helsgaun128:search_node_potential_updates_skipped_numerically_unsafe,P128 [P128-e0c758997a9b]:search_node_potential_updates_skipped_strategy_none,helsgaun128:search_node_potential_updates_skipped_strategy_none,P128 [P128-e0c758997a9b]:search_node_potential_updates_skipped_update_depth_zero,helsgaun128:search_node_potential_updates_skipped_update_depth_zero,P128 [P128-e0c758997a9b]:search_node_potential_updates_skipped_zero_iteration_limit,helsgaun128:search_node_potential_updates_skipped_zero_iteration_limit,P128 [P128-e0c758997a9b]:search_node_potential_updates_skipped_zero_violation,helsgaun128:search_node_potential_updates_skipped_zero_violation
eil101.tsp,ok,0.08340847492218018,629.0,1.0,ok,1,629.0,ok,1,629.0,True,True,True,14.769855186685074,17.80810710523796,1.315339570865035,1.568755529820919,0.19266200498265595,712.0,706.0,-0.008498583569405138,175.0,200.0,542.0,536.0,0.0,0.0,400.0,400.0,372.0,369.0,344.0,342.0,28.0,27.0,-0.03703703703703698,19686.0,25683.0,0.0,0.0,0.0,0.0,26.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
eil51.tsp,ok,0.04456336051225662,426.0,1.0,ok,1,426.0,ok,1,426.0,True,True,True,3.782390695301088,2.7132021153639414,0.213119400665164,0.16547276452183723,-0.28794246763816456,376.0,398.0,0.0585106382978724,137.0,137.0,250.0,267.0,17.0,41.0,400.0,400.0,345.0,369.0,345.0,369.0,0.0,0.0,0.0,18573.0,10877.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eil76.tsp,ok,0.05953832529485226,538.0,1.0,ok,1,538.0,ok,1,538.0,True,True,True,5.0112884038631105,7.504684696832209,0.3579020444303751,0.506354684010148,0.41478567080007944,289.0,401.0,0.38754325259515565,90.0,132.0,203.0,275.0,0.0,0.0,364.0,364.0,165.0,299.0,156.0,290.0,9.0,9.0,0.0,10542.0,16024.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fri26.tsp,ok,0.03324941731989384,937.0,1.0,ok,1,937.0,ok,1,937.0,True,True,True,0.4146568373299677,0.05751736141747266,0.047036515548825264,0.035161836072802544,-0.33771500019043965,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,45.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr120.tsp,ok,0.18835646659135818,6942.0,1.0,ok,1,6942.0,ok,1,6942.0,True,True,True,112.42696233189352,92.89628601011749,21.364701841026545,17.685972658917308,-0.2080026500693708,6248.0,4908.0,-0.27302363488182557,1771.0,1326.0,4483.0,3583.0,0.0,0.0,400.0,400.0,5742.0,4434.0,5619.0,4311.0,123.0,123.0,0.0,256970.0,230538.0,0.0,0.0,0.0,0.0,123.0,123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr137.tsp,ok,0.3520910255610943,69853.0,1.0,ok,1,69853.0,ok,1,69853.0,True,True,True,245.32319006823508,1254.00327606951,86.72818461060524,441.87539055384696,4.094945691966137,21215.0,104098.0,3.9068112184774924,7169.0,36655.0,14063.0,68141.0,1.0,1.0,400.0,400.0,19875.0,95438.0,19871.0,95433.0,4.0,5.0,0.25,1066362.0,6526520.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
gr17.tsp,ok,0.02862764336168766,2085.0,1.0,ok,1,2085.0,ok,1,2085.0,True,True,True,0.707242837676469,0.230958578661985,0.04887433908879757,0.03523944318294525,-0.38692143445816884,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,34.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr21.tsp,ok,0.011052632704377174,2707.0,1.0,ok,1,2707.0,ok,1,2707.0,True,True,True,2.043036571446098,-0.11746280388798858,0.03363356553018093,0.009890828281641006,-2.400480179461848,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,22.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr24.tsp,ok,0.028689557686448097,1272.0,1.0,ok,1,1272.0,ok,1,1272.0,True,True,True,0.3175200610754465,-0.13743116836564662,0.03779906779527664,0.02522311545908451,-0.4985883824142232,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr48.tsp,ok,0.09573289565742016,5046.0,1.0,ok,1,5046.0,ok,1,5046.0,True,True,True,3.4970521462799775,5.288648829669474,0.43051582388579845,0.6020305622369051,0.39839357541618226,1001.0,1900.0,0.898101898101898,335.0,595.0,666.0,1308.0,0.0,0.0,334.0,334.0,870.0,1728.0,862.0,1720.0,8.0,8.0,0.0,46324.0,62769.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
gr96.tsp,ok,0.23831740580499172,55209.0,1.0,ok,1,55209.0,ok,1,55209.0,True,True,True,16.45013919695907,82.82156636734668,4.1586719043552876,19.976138247177005,3.8034898416142005,2282.0,11061.0,3.84706397896582,806.0,4075.0,1484.0,7151.0,1.0,7.0,319.0,319.0,2123.0,9896.0,2123.0,9896.0,0.0,0.0,0.0,120053.0,670895.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hk48.tsp,ok,0.04591211676597595,11461.0,1.0,ok,1,11461.0,ok,1,11461.0,True,True,True,0.033218223302641015,0.17183101220014874,0.047437235713005066,0.053801242262125015,0.13415635319946007,17.0,9.0,-0.8888888888888888,7.0,3.0,10.0,6.0,0.0,0.0,100.0,100.0,13.0,6.0,13.0,6.0,0.0,0.0,0.0,683.0,143.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kroA100.tsp,ok,0.11181685701012611,21282.0,1.0,ok,1,21282.0,ok,1,21282.0,True,True,True,1133.9846229340208,3215.5558985659763,126.9104132913053,359.66517097502947,1.8340083500434892,387966.0,423126.0,0.09062649819829582,69391.0,79362.0,318576.0,343808.0,0.0,0.0,320.0,320.0,367788.0,400981.0,306312.0,339505.0,61476.0,61476.0,0.0,2254151.0,7454351.0,0.0,0.0,0.0,0.0,61476.0,61476.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kroA150.tsp,ok,0.5374034084379673,26524.0,1.0,ok,1,26524.0,ok,1,26524.0,True,True,True,608.9036839511484,871.9289435883367,327.76431857421994,469.11498960852623,0.43125704362568795,51464.0,71295.0,0.3853373231773667,16015.0,21616.0,35459.0,49748.0,0.0,0.0,400.0,400.0,49627.0,68887.0,49619.0,68879.0,8.0,8.0,0.0,2572641.0,4275594.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kroB100.tsp,ok,0.21567042730748653,22141.0,1.0,ok,1,22141.0,ok,1,22141.0,True,True,True,251.5913245282537,504.46792255816166,54.47647889517248,109.01448284834623,1.0011293875677918,22886.0,42919.0,0.8753386349733461,7701.0,14884.0,15190.0,28104.0,0.0,9.0,372.0,372.0,21736.0,40526.0,21730.0,40520.0,6.0,6.0,0.0,1181314.0,2568976.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kroC100.tsp,ok,0.12055660411715508,20749.0,1.0,ok,1,20749.0,ok,1,20749.0,True,True,True,262.719465038683,538.5634518611171,31.79312314465642,65.04793746210635,1.0459750734818631,14460.0,29649.0,1.050414937759336,4300.0,9212.0,10161.0,20466.0,0.0,0.0,301.0,301.0,13556.0,27684.0,13544.0,27672.0,12.0,12.0,0.0,634030.0,1485102.0,0.0,0.0,0.0,0.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kroD100.tsp,ok,0.1392245627939701,21294.0,1.0,ok,1,21294.0,ok,1,21294.0,True,True,True,213.3815674786447,326.6648135413102,29.84718000330031,45.61899040825665,0.5284187786991064,10786.0,17803.0,0.6505655479325052,3265.0,5403.0,7524.0,12420.0,0.0,0.0,378.0,378.0,10280.0,16444.0,9986.0,16152.0,294.0,292.0,-0.006849315068493178,490563.0,942604.0,0.0,0.0,0.0,0.0,292.0,292.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
kroE100.tsp,ok,0.26656487211585045,22068.0,1.0,ok,1,22068.0,ok,1,22068.0,True,True,True,401.571744941403,815.4924959957285,107.31148570775986,217.6482177786529,1.0281912634344827,589400.0,591227.0,0.0030997624703088533,102046.0,103229.0,487361.0,488090.0,1331.0,1330.0,729.0,729.0,542905.0,544330.0,450047.0,452015.0,92858.0,92315.0,-0.005882034338948072,2703140.0,7391940.0,0.0,0.0,0.0,0.0,92858.0,92315.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lin105.tsp,ok,0.09504959546029568,14379.0,1.0,ok,1,14379.0,ok,1,14379.0,True,True,True,2.1267474571454086,1.504618272424839,0.2971960809081793,0.23806295357644558,-0.24839281561188042,40.0,42.0,0.050000000000000044,13.0,14.0,27.0,28.0,0.0,0.0,333.0,333.0,26.0,29.0,26.0,29.0,0.0,0.0,0.0,1262.0,1641.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pr124.tsp,ok,0.5092240646481514,59030.0,1.0,ok,1,59030.0,ok,1,59030.0,True,True,True,29.95341088784177,104.63871996997904,15.76222170703113,53.793778367340565,2.4128296992133103,3024.0,17099.0,4.654431216931217,1062.0,6672.0,1963.0,10730.0,0.0,0.0,341.0,341.0,2809.0,14879.0,2809.0,14879.0,0.0,0.0,0.0,153420.0,1099112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rat99.tsp,ok,1.2710327673703432,1211.0,1.0,ok,1,1211.0,ok,1,1211.0,True,True,True,0.24504610236375735,-0.2868049104074315,1.582494392991066,0.9877431746572256,-0.6021314382053164,811.0,539.0,-0.5046382189239331,242.0,161.0,570.0,382.0,0.0,0.0,400.0,400.0,712.0,478.0,711.0,478.0,1.0,0.0,,34765.0,24827.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
rd100.tsp,ok,0.09606701135635376,7910.0,1.0,ok,1,7910.0,ok,1,7910.0,True,True,True,8.292271629924734,5.4661065204806984,0.8926807641983032,0.6211795285344124,-0.43707370122846867,328.0,274.0,-0.197080291970803,101.0,77.0,227.0,197.0,0.0,0.0,400.0,400.0,250.0,188.0,239.0,176.0,11.0,12.0,0.09090909090909083,12260.0,9180.0,0.0,0.0,0.0,0.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
st70.tsp,ok,0.07336051017045975,675.0,1.0,ok,1,675.0,ok,1,675.0,True,True,True,27.909264193252255,11.93377756027885,2.12079836986959,0.9488285202533007,-1.2351756135064513,2230.0,919.0,-1.426550598476605,725.0,350.0,1513.0,575.0,0.0,0.0,361.0,361.0,2003.0,821.0,2001.0,818.0,2.0,3.0,0.5,105433.0,43578.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
swiss42.tsp,ok,0.02214985154569149,1273.0,1.0,ok,1,1273.0,ok,1,1273.0,True,True,True,2.135538321931318,0.6264480060775617,0.0694517083466053,0.03602558188140392,-0.9278441795954901,5.0,5.0,0.0,3.0,3.0,3.0,3.0,4.0,3.0,100.0,100.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,259.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ulysses16.tsp,ok,0.03646428510546684,6859.0,1.0,ok,1,6859.0,ok,1,6859.0,True,True,True,0.054256624766673145,-0.23291096414946422,0.038442714139819145,0.029575765132904053,-0.2998045517020389,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,38.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wi29.tsp,ok,0.03916095197200775,27603.0,1.0,ok,1,27603.0,ok,1,27603.0,True,True,True,0.009405701267899635,-1.0047111394877932,0.039529288187623024,0.019534461200237274,-1.0235668535942462,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,58.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bier127.tsp,ok,0.20501085184514523,118282.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brg180.tsp,ok,0.20812725275754929,1950.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d198.tsp,ok,1.0714040137827396,15780.0,3.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kroB150.tsp,ok,0.47228593938052654,26130.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pr107.tsp,ok,0.17204810306429863,44303.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pr136.tsp,ok,0.6123605966567993,96772.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pr144.tsp,ok,0.294503515586257,58537.0,1.0,ok,1,58537.0,timeout,0,,,True,,1710.6994269718082,,504.10149887017906,,,88869.0,,,37755.0,,54272.0,,42.0,,400.0,,77520.0,,77500.0,,20.0,,,5579610.0,,0.0,,0.0,,20.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
pr152.tsp,ok,0.8900012671947479,73682.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pr76.tsp,ok,0.2033493872731924,108159.0,1.0,ok,1,108159.0,timeout,0,,,True,,8356.695329984177,,1699.532224368304,,,2461427.0,,,588989.0,,1872669.0,,14.0,,361.0,,2303112.0,,2070272.0,,232840.0,,,58452330.0,,0.0,,0.0,,232840.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
qa194.tsp,ok,0.45648094080388546,9352.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rat195.tsp,ok,2.894400419667363,2323.0,3.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
si175.tsp,ok,2.043676285073161,21407.0,3.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u159.tsp,ok,0.13504626415669918,42080.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xqf131.tsp,ok,0.3609807752072811,564.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
