instance,Concorde:status,Concorde:wall_seconds,Concorde:result,Concorde:branches,PS32:status,PS32:successful_repeats,PS32:result,PSD32:status,PSD32:successful_repeats,PSD32:result,result_match,PS32:matches_reference,PSD32:matches_reference,PS32:wall_vs_Concorde_relative_change,PSD32:wall_vs_Concorde_relative_change,PS32:wall_seconds,PSD32:wall_seconds,relative_change:wall_seconds,PS32:branches,PSD32:branches,relative_change:branches,PS32:nodes_expanded,PSD32:nodes_expanded,PS32:pruned_by_bound,PSD32:pruned_by_bound,PS32:pruned_infeasible,PSD32:pruned_infeasible,PS32:root_potential_iterations,PSD32:root_potential_iterations,PS32:search_node_potential_update_candidates,PSD32:search_node_potential_update_candidates,PS32:search_node_potential_updates_triggered,PSD32:search_node_potential_updates_triggered,PS32:search_node_potential_updates_skipped_total,PSD32:search_node_potential_updates_skipped_total,relative_change:search_node_potential_updates_skipped_total,PS32:search_node_potential_iterations,PSD32:search_node_potential_iterations,PS32:search_node_potential_updates_skipped_budget_exhausted,PSD32:search_node_potential_updates_skipped_budget_exhausted,PS32:search_node_potential_updates_skipped_depth_interval,PSD32:search_node_potential_updates_skipped_depth_interval,PS32:search_node_potential_updates_skipped_gap_above_maximum,PSD32:search_node_potential_updates_skipped_gap_above_maximum,PS32:search_node_potential_updates_skipped_gap_below_minimum,PSD32:search_node_potential_updates_skipped_gap_below_minimum,PS32:search_node_potential_updates_skipped_invalid_state,PSD32:search_node_potential_updates_skipped_invalid_state,PS32:search_node_potential_updates_skipped_numerically_unsafe,PSD32:search_node_potential_updates_skipped_numerically_unsafe,PS32:search_node_potential_updates_skipped_strategy_none,PSD32:search_node_potential_updates_skipped_strategy_none,PS32:search_node_potential_updates_skipped_update_depth_zero,PSD32:search_node_potential_updates_skipped_update_depth_zero,PS32:search_node_potential_updates_skipped_zero_iteration_limit,PSD32:search_node_potential_updates_skipped_zero_iteration_limit,PS32:search_node_potential_updates_skipped_zero_violation,PSD32:search_node_potential_updates_skipped_zero_violation
eil101.tsp,ok,0.07881497777998447,629.0,1.0,ok,1,629.0,ok,1,629.0,True,True,True,62.45634641773285,2077.3782175363594,5.001310532912612,163.8073330335319,31.752881860774096,5866.0,217627.0,36.09972724173201,1767.0,58410.0,4135.0,159992.0,0.0,0.0,400.0,400.0,5237.0,206266.0,5173.0,199884.0,64.0,6382.0,98.71875,83688.0,2768550.0,0.0,0.0,0.0,0.0,64.0,6382.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eil51.tsp,ok,0.05758170783519745,426.0,1.0,ok,1,426.0,ok,1,426.0,True,True,True,1.4428777835658888,0.7303954487334259,0.1406650748103857,0.09963912516832352,-0.2916569709813507,589.0,338.0,-0.42614601018675724,193.0,114.0,401.0,225.0,28.0,39.0,400.0,400.0,560.0,301.0,560.0,301.0,0.0,0.0,0.0,8379.0,4861.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eil76.tsp,ok,0.038888582959771156,538.0,1.0,ok,1,538.0,ok,1,538.0,True,True,True,20.680647264276157,7.138679918416139,0.8431296497583389,0.3165017291903496,-0.6246108421390868,1776.0,569.0,-0.6796171171171171,539.0,155.0,1246.0,417.0,0.0,0.0,400.0,400.0,1598.0,470.0,1589.0,460.0,9.0,10.0,0.11111111111111116,25281.0,6892.0,0.0,0.0,0.0,0.0,9.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fri26.tsp,ok,0.029480643570423126,937.0,1.0,ok,1,937.0,ok,1,937.0,True,True,True,-0.3694601100629924,-0.38866389087210074,0.018588721752166748,0.018022581934928894,-0.03045609185967091,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,56.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr120.tsp,ok,0.15989429503679276,6942.0,1.0,ok,1,6942.0,ok,1,6942.0,True,True,True,2322.534832252743,77.54542462811818,371.5199639964849,12.558965299278498,-0.9661957188944029,325497.0,10469.0,-0.967836877144797,101093.0,3313.0,225821.0,7184.0,0.0,0.0,800.0,400.0,306639.0,9361.0,306574.0,9314.0,65.0,47.0,-0.27692307692307694,4924840.0,146917.0,0.0,0.0,0.0,0.0,65.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
gr137.tsp,ok,0.33605039678514004,69853.0,1.0,ok,1,69853.0,ok,1,69853.0,True,True,True,192.70369424037267,145.3671086287992,65.09420330822468,49.18672493100166,-0.2443762665302196,51825.0,38620.0,-0.2547998070429329,17522.0,13350.0,34493.0,25404.0,1.0,3.0,400.0,400.0,47995.0,35911.0,47988.0,35904.0,7.0,7.0,0.0,781907.0,583154.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
gr17.tsp,ok,0.018152451142668724,2085.0,1.0,ok,1,2085.0,ok,1,2085.0,True,True,True,-0.45545395562659896,-0.22176388070706932,0.009884845465421677,0.014126893132925034,0.4291465842680622,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,35.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr21.tsp,ok,0.008518075570464134,2707.0,1.0,ok,1,2707.0,ok,1,2707.0,True,True,True,-0.5067681556543505,0.06954046778262568,0.004201386123895645,0.009110426530241966,1.168433526836738,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,20.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr24.tsp,ok,0.013564003631472588,1272.0,1.0,ok,1,1272.0,ok,1,1272.0,True,True,True,-0.5721941649127129,-0.16120637413368277,0.005802759900689125,0.011377399787306786,0.9606876696648481,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr48.tsp,ok,0.07694356888532639,5046.0,1.0,ok,1,5046.0,ok,1,5046.0,True,True,True,3.8017710721143825,2.363536512494056,0.3694654032588005,0.25880250334739685,-0.29952168439946536,3192.0,1387.0,-0.5654761904761905,897.0,454.0,2298.0,936.0,1.0,0.0,389.0,323.0,2835.0,1241.0,2504.0,1226.0,331.0,15.0,-0.9546827794561934,29670.0,19427.0,0.0,0.0,0.0,0.0,331.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gr96.tsp,ok,0.20145457983016968,55209.0,1.0,ok,1,55209.0,ok,1,55209.0,True,True,True,20.97194962708371,13.773706407790057,4.426349880173802,2.9762308169156313,-0.32761058265037823,7696.0,4889.0,-0.3647349272349273,2629.0,1679.0,5107.0,3239.0,0.0,0.0,395.0,356.0,7097.0,4521.0,7094.0,4521.0,3.0,0.0,-1.0,116923.0,75446.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
hk48.tsp,ok,0.03125464729964733,11461.0,1.0,ok,1,11461.0,ok,1,11461.0,True,True,True,0.2764946905223815,0.3089309464269081,0.039896391332149506,0.04091017507016659,0.025410411923650678,12.0,8.0,-0.33333333333333337,4.0,4.0,8.0,4.0,0.0,1.0,100.0,100.0,8.0,6.0,8.0,6.0,0.0,0.0,0.0,89.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kroA100.tsp,ok,0.09304322861135006,21282.0,1.0,ok,1,21282.0,ok,1,21282.0,True,True,True,1635.003104767972,1169.8880507432275,152.2190108858049,108.94320458360016,-0.28429961573374274,794543.0,392606.0,-0.5058719288949749,138796.0,71396.0,655917.0,321356.0,0.0,1.0,800.0,330.0,755865.0,372430.0,630970.0,319738.0,124895.0,52692.0,-0.5781096120741422,2807916.0,1885453.0,0.0,0.0,0.0,0.0,124895.0,52692.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kroA150.tsp,ok,0.4707332830876112,26524.0,1.0,ok,1,26524.0,ok,1,26524.0,True,True,True,1163.7092721795607,2026.9941548851546,548.2674195356667,954.6443466115743,0.7412020349851765,315468.0,511863.0,0.6225512571798091,90312.0,151929.0,226128.0,361602.0,0.0,0.0,400.0,400.0,293001.0,484698.0,293001.0,484684.0,0.0,14.0,,4591550.0,7704730.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kroB100.tsp,ok,0.1833615768700838,22141.0,1.0,ok,1,22141.0,ok,1,22141.0,True,True,True,388.7099577630356,339.9390412663066,71.45783237740397,62.51512022316456,-0.1251467034013648,89761.0,75304.0,-0.1610610398725505,29785.0,25184.0,60222.0,50375.0,0.0,17.0,400.0,400.0,83683.0,70329.0,83680.0,70066.0,3.0,263.0,86.66666666666667,1383685.0,1175808.0,0.0,0.0,0.0,0.0,2.0,262.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
kroC100.tsp,ok,0.11923562549054623,20749.0,1.0,ok,1,20749.0,ok,1,20749.0,True,True,True,126.46193174604754,94.5044835641701,15.19800315797329,11.387536834925413,-0.2507215114670378,21576.0,14960.0,-0.30663700407860583,6504.0,4446.0,15115.0,10544.0,0.0,0.0,372.0,311.0,20325.0,14130.0,19780.0,13973.0,545.0,157.0,-0.7119266055045872,279851.0,203477.0,0.0,0.0,0.0,0.0,545.0,157.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kroD100.tsp,ok,0.14088797196745872,21294.0,1.0,ok,1,21294.0,ok,1,21294.0,True,True,True,15.357315665611925,143.18777021071793,2.304549030959606,20.314322527498007,7.814879724663179,2322.0,23169.0,8.978036175710594,728.0,7054.0,1599.0,16172.0,0.0,0.0,400.0,400.0,2091.0,21707.0,2056.0,21386.0,35.0,321.0,8.17142857142857,32510.0,333498.0,0.0,0.0,0.0,0.0,34.0,319.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
kroE100.tsp,ok,0.23537259548902512,22068.0,1.0,ok,1,22068.0,ok,1,22068.0,True,True,True,356.38233370553644,181.30149844853824,84.11800746619701,42.90877685137093,-0.48989784537378744,624452.0,46593.0,-0.9253857782503699,110762.0,14327.0,513862.0,32397.0,1373.0,0.0,721.0,394.0,571472.0,44047.0,478280.0,44023.0,93192.0,24.0,-0.9997424671645635,2065800.0,669192.0,0.0,0.0,0.0,0.0,93192.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
lin105.tsp,ok,0.08077146671712399,14379.0,1.0,ok,1,14379.0,ok,1,14379.0,True,True,True,1.7485390077555611,1.5743840877969992,0.2220035269856453,0.20793677866458893,-0.06336272451187641,50.0,51.0,0.020000000000000018,17.0,16.0,33.0,35.0,0.0,0.0,348.0,307.0,28.0,30.0,28.0,29.0,0.0,1.0,,482.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
pr124.tsp,ok,0.4382678158581257,59030.0,1.0,ok,1,59030.0,ok,1,59030.0,True,True,True,9.910349524615755,13.157135737030645,4.781655056402087,6.204616958275437,0.29758773585479936,4305.0,5845.0,0.3577235772357723,1540.0,2050.0,2773.0,3814.0,0.0,0.0,387.0,349.0,3996.0,5349.0,3996.0,5349.0,0.0,0.0,0.0,66762.0,88411.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pr144.tsp,ok,0.24983618780970573,58537.0,1.0,ok,1,58537.0,ok,1,58537.0,True,True,True,23.047486344233377,58.631599103023966,6.007932314649224,14.898131392896175,1.4797435478042682,3635.0,9064.0,1.4935350756533698,1558.0,4104.0,2225.0,5462.0,0.0,1.0,400.0,400.0,3164.0,8011.0,3164.0,8011.0,0.0,0.0,0.0,64555.0,167614.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pr76.tsp,ok,0.21514095552265644,108159.0,1.0,ok,1,108159.0,ok,1,108159.0,True,True,True,1670.687197391311,2205.8190562384134,359.64838098175824,474.7771604247391,0.3201148275120982,1016970.0,1391537.0,0.36831666617501013,289352.0,372985.0,729940.0,1021351.0,91.0,119.0,400.0,400.0,945841.0,1276343.0,889228.0,1201478.0,56613.0,74865.0,0.32239944888983096,11737705.0,15183662.0,0.0,0.0,0.0,0.0,56613.0,74865.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rat195.tsp,ok,2.86149631254375,2323.0,3.0,ok,1,2323.0,ok,1,2323.0,True,True,True,367.33501673796957,257.6851909355479,1053.9892921764404,740.2267199717462,-0.2976904742142006,295401.0,210812.0,-0.28635312676666635,104288.0,74578.0,193103.0,137590.0,6.0,7.0,400.0,400.0,281326.0,200374.0,281316.0,200363.0,10.0,11.0,0.10000000000000009,5118940.0,3660495.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
rat99.tsp,ok,1.160699475556612,1211.0,1.0,ok,1,1211.0,ok,1,1211.0,True,True,True,-0.7959138858719651,-0.7008350017149919,0.23688264563679695,0.3472406566143036,0.46587630208552433,154.0,335.0,1.175324675324675,44.0,104.0,110.0,235.0,0.0,0.0,400.0,400.0,95.0,282.0,95.0,281.0,0.0,1.0,,1701.0,4297.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
rd100.tsp,ok,0.0784916877746582,7910.0,1.0,ok,1,7910.0,ok,1,7910.0,True,True,True,11.772570625694827,2.368626611014586,1.0025406256318092,0.2644091881811619,-0.7362608742019516,1026.0,214.0,-0.7914230019493178,354.0,42.0,674.0,172.0,0.0,0.0,400.0,400.0,903.0,98.0,892.0,82.0,11.0,16.0,0.4545454545454546,15106.0,1183.0,0.0,0.0,0.0,0.0,11.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
st70.tsp,ok,0.07140777260065079,675.0,1.0,ok,1,675.0,ok,1,675.0,True,True,True,13.770580901524376,4.67895786487516,1.054734282195568,0.4055217318236828,-0.6155223750008998,2810.0,850.0,-0.697508896797153,867.0,290.0,1958.0,566.0,0.0,0.0,400.0,400.0,2552.0,734.0,2550.0,724.0,2.0,10.0,4.0,42212.0,13300.0,0.0,0.0,0.0,0.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
swiss42.tsp,ok,0.03386518731713295,1273.0,1.0,ok,1,1273.0,ok,1,1273.0,True,True,True,-0.12230011450267897,-0.21875291853127243,0.02972347103059292,0.026457078754901886,-0.10989269296069404,8.0,3.0,-0.625,3.0,2.0,5.0,2.0,3.0,0.0,100.0,100.0,3.0,2.0,3.0,2.0,0.0,0.0,0.0,69.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
u159.tsp,ok,0.12093745544552803,42080.0,1.0,ok,1,42080.0,ok,1,42080.0,True,True,True,654.1263482321486,287.3638670072337,79.22931355051696,34.87399231828749,-0.559834728391889,42600.0,18956.0,-0.5550234741784037,14723.0,6398.0,28030.0,12644.0,0.0,0.0,400.0,400.0,40031.0,17712.0,39945.0,17685.0,86.0,27.0,-0.686046511627907,684622.0,298613.0,0.0,0.0,0.0,0.0,86.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ulysses16.tsp,ok,0.03193540312349796,6859.0,1.0,ok,1,6859.0,ok,1,6859.0,True,True,True,-0.3449841235345962,-0.5492207172519359,0.020918196067214012,0.0143958181142807,-0.311804035681457,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,31.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wi29.tsp,ok,0.04551754333078861,27603.0,1.0,ok,1,27603.0,ok,1,27603.0,True,True,True,-0.5039584777946761,-0.6601992180314764,0.022578591480851173,0.015466896817088127,-0.314975124546385,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,85.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bier127.tsp,ok,0.1989000365138054,118282.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brg180.tsp,ok,0.18208833783864975,1950.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d198.tsp,ok,0.9902167804539204,15780.0,3.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kroB150.tsp,ok,0.46501733362674713,26130.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pr107.tsp,ok,0.15831930935382843,44303.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pr136.tsp,ok,0.5037562884390354,96772.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pr152.tsp,ok,0.8909101411700249,73682.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qa194.tsp,ok,0.48868450708687305,9352.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
si175.tsp,ok,1.865148700773716,21407.0,3.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xqf131.tsp,ok,0.36307481303811073,564.0,1.0,timeout,0,,timeout,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
